Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
listener demo,Chrome 120.0.0.0,,,03-01-2024 15:23:27,03-01-2024 15:23:38,11.179s,FAILED
,,,,,,,
Test Cases/Test4_ScriptMode,Chrome 120.0.0.0,,,03-01-2024 15:23:28,03-01-2024 15:23:38,9.879s,FAILED
Start listener action : beforeTest,Chrome 120.0.0.0,,,03-01-2024 15:23:28,03-01-2024 15:23:28,0.008s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 120.0.0.0,,,03-01-2024 15:23:28,03-01-2024 15:23:28,0.128s,ERROR
Start listener action : beforeTestCase,Chrome 120.0.0.0,,,03-01-2024 15:23:28,03-01-2024 15:23:28,0.016s,PASSED
Start setup action : setupTestCase,Chrome 120.0.0.0,,,03-01-2024 15:23:28,03-01-2024 15:23:28,0.005s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,03-01-2024 15:23:29,03-01-2024 15:23:32,2.988s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/web/index.php/auth/login"")",Chrome 120.0.0.0,,,03-01-2024 15:23:32,03-01-2024 15:23:36,4.681s,PASSED
"setText(findTestObject(""Object Repository/Page_OrangeHRM/input_Username_username""), ""Admin"")",Chrome 120.0.0.0,,,03-01-2024 15:23:36,03-01-2024 15:23:38,1.285s,PASSED
"setText(findTestObject(""Object Repository/Page_OrangeHRM/input_Password_password""), PWD)",Chrome 120.0.0.0,,,03-01-2024 15:23:38,03-01-2024 15:23:38,0.419s,FAILED
Start listener action : aftreTest,Chrome 120.0.0.0,,,03-01-2024 15:23:38,03-01-2024 15:23:38,0.007s,PASSED
Start listener action : afterTestCase,Chrome 120.0.0.0,,,03-01-2024 15:23:38,03-01-2024 15:23:38,0.003s,PASSED
